,Channel,Carryover,Alpha,CPU,Max_Spend_Cap,Current_Budget,Current_ROI,Min_Spend_Cap
0,Bvod,0.263685209,2.35E-05,1,544328.2647,362885.5098,1.39926032,0
1,CTV,0.266864873,0.0002463,1,180758.6269,120505.7513,1.165153327,0
2,Display,0.214036091,0.000266829,1,210223.5647,140149.0432,11.02485473,0
3,Facebook,0.337375705,0.000179943,1,254199.2744,169466.1829,3.665426739,0
4,Instagram,0.343220903,0.000197662,1,327230.4553,218153.6369,4.577283468,0
5,NBC WG BVOD,0.199094015,2.60E-05,1,299231.438,199487.6253,1.442615853,0
6,NBC WG Social,0.200017058,2.53E-05,1,404119.0185,269412.679,1.570359846,0
7,NBC WG TV,0.20737696,2.24E-05,1,1847251.5,1231501,1.095490586,0
8,NBC WG VOD,0.200724737,2.52E-05,1,129031.1318,86020.75454,1.514938489,0
9,NBC WG display,0.212252237,2.26E-05,1,157360.9848,104907.3232,1.426339599,0
10,NBC digital,0.253555284,6.04E-05,1,314304.2107,209536.1405,3.22236843,0
11,NBC ppc,0.254885676,5.92E-05,1,81201.34497,54134.22998,4.105830632,0
12,NBC social,0.255866603,5.95E-05,1,399440.37,266293.58,2.810325773,0
13,NBD WG YT,0.194311817,2.81E-05,1,96127.89256,64085.26171,1.470823868,0
14,PPC,0.282755618,0.000860367,1,111763.5149,74509.00994,10.24859076,0
15,Sponsorship,0.617748133,8.84E-05,1,1519071.428,1012714.285,3.28897716,0
16,TV,0.380832058,5.29E-05,1,3535290.734,2356860.489,0.288523207,0
17,Vod,0.265041454,0.000244479,1,84769.5486,56513.0324,1.876356613,0
18,YT,0.401596214,0.000274001,1,233013.5237,155342.3491,4.861131594,0
